Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
540065,RBLBANK,A,219.00,219.15,215.70,216.65,87634,190.24,1569
532783,LTFOODS,A,309.35,313.85,305.60,309.35,60307,186.47,1563
532713,SAKUMA,B,7.74,7.76,7.01,7.76,1722871,133.28,1561
540743,GODREJAGRO,A,798.00,836.55,795.95,831.35,13631,110.65,1559
543278,KALYANKJIL,A,539.95,540.90,531.00,538.60,37524,200.99,1558
532710,SADBHAV,B,29.80,31.55,29.13,31.55,430152,131.76,1558
538666,SHARDACROP,B,546.75,562.85,546.75,553.95,16146,89.42,1554
540115,LTTS,A,4951.00,5060.00,4890.00,4894.80,7065,350.54,1551
533137,DEN,B,52.50,53.93,51.98,52.55,233640,122.98,1545
533229,BAJAJCON,A,279.65,279.65,270.20,272.00,43200,118.82,1544
532804,TIIL,B,3323.00,3366.00,3121.25,3226.50,5664,183.94,1542
533298,SURANASOL,B,39.31,39.66,37.00,37.31,95113,36.15,1541
532668,AURIONPRO,B,1690.00,1728.60,1671.20,1724.45,13154,225.68,1529
520151,SHREYAS,B,376.75,378.65,355.40,358.10,32194,117.38,1526
523660,WATERBASE,X,83.00,87.00,83.00,85.75,232356,199.43,1525
532123,BSELALGO,X,12.45,13.49,12.11,13.48,1117804,146.61,1518
543214,NDRAUTO,B,1167.05,1190.00,1092.05,1114.55,11181,125.30,1517
540047,DBL,A,547.95,548.00,536.80,539.95,36856,199.12,1508
