,Symbol,LTP,2_day_rise,5_day_rise,1_month_rise,2_month_rise,3_month_rise,6_month_rise,1_year_rise,P/E Ratio (TTM),ROE,Debt-to-Equity,Price-to-Book Ratio,10_day_rise
2079,AMBICAAGAR.NS,26.5,6.255009753556643,1.0293574627361661,0.9523809523809523,4.78449600897306,-2.7522935779816513,-32.741119356063635,-24.393721606761407,,,,0.46688017,-0.37594127832941504
1177,SUNDARMHLD.NS,284.29998779296875,2.0825808951413824,-1.6773322517350375,7.526472903125501,4.772427270376739,30.323170179813783,59.5398387551842,135.34766606848342,11.759067,,0.374,1.3072472,4.387729547144251
2250,NETF.NS,258.8800048828125,-0.10418252750556506,-1.7122933728694238,0.09666318496698678,4.750346169036932,10.613575589327063,11.470891646371646,25.694307848059626,29.822285,,,,-1.868766430918227
216,CGPOWER.NS,685.7999877929688,-0.7884285290461122,-6.26666235100757,-10.761224750426969,4.742266176856624,17.774343494714007,58.58480019296393,68.10882884467983,117.66277,,0.582,35.675236,-7.455637394253017
1651,SHEMAROO.NS,154.00999450683594,3.3138706244731027,-4.2226420497867325,-0.006499003601696279,4.733078075917065,0.4959181121278548,-11.463065703495978,2.7761015908445232,,,62.32,0.7559938,-5.72355905275575
2276,PENTAGON.NS,118.5,4.3593102731894415,0.21141649048625794,-8.670520231213873,4.728235441426378,-6.692913385826771,-15.357142857142858,-0.42016806722689076,,,,,3.0434782608695654
2445,BAFNAPH.NS,85.0,0.591715976331361,-1.6772666274474295,-1.654518454386893,4.718494415982383,-18.893132132810273,-13.705583756345177,-5.555555555555555,26.090033,0.095249996,30.17,2.3561866,-2.7459971212566536
303,UNOMINDA.NS,992.0499877929688,1.7591509846575182,-2.5873955213477298,-11.774642636688467,4.718426490630783,36.48621051314542,55.00781059265137,70.10458968248429,65.99051,,32.409,12.110178,-6.330845938871253
278,INFIBEAM.NS,32.43000030517578,2.3997481119386594,0.3713987210906232,8.71605896117853,4.71424289374049,3.6102271426807717,-7.999999134253103,118.38383482900714,45.416664,,2.413,2.6195626,4.075739614835549
941,UNITEDPOLY.NS,89.81999969482422,7.84007528817246,4.966693952503386,2.3006794679444655,4.709723680367321,-1.9432301407731591,-10.98117112338485,-7.545035219687685,30.119741,0.09222,157.592,2.6416328,2.6866336359040504
1800,JMA.NS,105.19000244140624,0.8146503098993638,-4.736456995350668,-1.294920950895907,4.697920934961126,9.630021664459584,-14.791409443688908,50.164165394374855,9.882248,0.11903,,1.1128076,-0.6798236198727737
735,LGBBROSLTD.NS,1289.8499755859375,-1.3499062649378586,-5.259097150380552,-9.636405105470578,4.687119644859696,1.5509940395397666,1.6991189724958262,25.36203177956776,14.814629,,7.01,2.5372124,-10.352381719996776
1295,PARKHOTELS.NS,180.30999755859372,-0.22135418095957068,-3.6754125717617265,-9.172882491416164,4.685318049266983,-0.46370210664797806,-11.417344703873438,-11.417344703873438,56.120743,0.078449994,8.341,2.736977,-5.951389312257775
2216,MOM50.NS,249.17999267578125,0.6096800250331135,-1.6304152708608157,0.41911553505718174,4.675483924107957,11.141835890972752,12.588100682081361,25.51883302087355,,,,,-2.0249318280170754
1737,VINYLINDIA.NS,386.0,-0.09059301099683355,-4.111287615162084,-7.478430319783551,4.663777867771153,8.168696482529553,-6.287932575933315,-12.689437984395791,30.23678,,0.424,6.015734,-5.43851336186925
160,WIPRO.NS,497.3999938964844,2.556699772471005,-0.9459325017893335,-8.093129586588326,4.660703607887296,9.102873559025074,1.4170621911452428,19.466791546729937,22.87815,0.1552,21.606,3.281812,-5.1487469985812
